NOME,LATITUDE,LONGITUDE
HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,-21.1623000,-47.8528100
UNIDADE HOSPITALAR VILA GUILHERME,-23.5162704,-46.6053698
HOSPITAL SANTA TEREZA DE RIBEIRAO PRETO,-21.2077000,-47.8291000
HOSPITAL ESTADUAL DE RIB PRETO DR CARLOS EDUARDO MARTINELLI,-21.2112600,-47.8273297
HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA,-23.6533315,-46.6456841
HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA,-23.5407248,-46.8812915
HOSPITAL LOCAL DE SAPOPEMBA,-23.6098750,-46.5137781
HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN,-23.6177855,-46.5564425
HU HOSPITAL UNIVERSITARIO,-27.5973598,-48.5180143
HOSPITAL SAO JOSE,-23.4926707,-46.6468448
UNIDADE RESPIRATORIA NOVA HORTOLANDIA,-22.8545829,-47.2109927
HOSPITAL REGIONAL DE SOROCABA,-23.5094498,-47.4582552
HOSPITAL DE CLINICAS MUNICIPAL,-23.7328552,-46.5788729
HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO,-23.5412881,-46.2211474
HOSPITAL MATERNIDADE INTERLAGOS,-23.7068960,-46.7019715
CAISM PHILIPPE PINEL SAO PAULO,-23.4859399,-46.7243104
COMPLEXO HOSPITALAR PREFEITO EDIVALDO ORSI,-22.9626824,-47.1354015
CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG,-23.5829178,-46.2447432
HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE,-22.1325898,-51.4075387
HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,-23.4846622,-46.7275442
HOSPITAL REGIONAL DE PIRACICABA,-22.7614269,-47.5837788
HOSPITAL NOSSA SENHORA APARECIDA,-23.1744952,-47.0522510
HOSPITAL DR LEOPOLDO BEVILACQUA,-24.7172470,-47.8792765
CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP,-23.6438548,-46.6278700
HOSPITAL ESTADUAL DR ODILO ANTUNES DE SIQUEIRA P PRUDENTE,-22.1420094,-51.3995789
CENTRO MEDICO PMESP,-23.4691884,-46.6187741
DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS,-23.2385487,-45.9075824
UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO,-21.7858800,-48.1595602
UNIDADE HOSPITALAR M BOI MIRIM II,-23.7347396,-46.7812450
HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA,-23.4406198,-46.4099250
HOSPITAL KATIA DE SOUZA RODRIGUES TAIPAS SAO PAULO,-23.4442178,-46.7179270
HOSPITAL PSIQUIATRICO DE VILA MARIANA,-23.5882419,-46.6383373
HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,-23.5966745,-46.6542710
HOSPITAL SAO JOSE ITIRAPINA,-22.2496758,-47.8224301
HOSPITAL MUNICIPAL BRIGADEIRO,-23.5827676,-46.6674764
HOSP MUN M BOI MIRIM,-23.6922652,-46.7753925
HOSPITAL ESTADUAL DE MIRANDOPOLIS DR OSWALDO BRANDI FARIA,-21.1249339,-51.1035001
HOSPITAL MUNICIPAL MARIA ROSA CARDOSO,-24.2259552,-48.7677591
HOSPITAL CAMPANHA DO MUNICIPIO DE CAJAMAR,-23.4117359,-46.8251230
