NOME;LATITUDE;LONGITUDE;AREA PROPRIEDADE;AREA TELHADO;LINKS OSM;LINKS MAPS
FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP;-23,5592549;-46,6707916;296838,3795251025;55324,16123869267;https://www.openstreetmap.org/#map=19/-23.5592549/-46.6707916;https://www.google.com.br/maps/@/-23.5592549,-46.6707916,18z
HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;-23,5577989;-46,6698598;296838,3795251025;92251,98994629536;https://www.openstreetmap.org/#map=19/-23.5577989/-46.6698598;https://www.google.com.br/maps/@/-23.5577989,-46.6698598,18z
HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;-23,556985;-46,668067;296838,3795251025;73555,04905391931;https://www.openstreetmap.org/#map=19/-23.556985/-46.668067;https://www.google.com.br/maps/@/-23.556985,-46.668067,18z
INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;-23,5847819;-46,6507808;45271,73953839117;19356,690798981424;https://www.openstreetmap.org/#map=19/-23.5847819/-46.6507808;https://www.google.com.br/maps/@/-23.5847819,-46.6507808,18z
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;-22,8914655;-48,4963416;1214967,1267240813;76161,7728108272;https://www.openstreetmap.org/#map=19/-22.8914655/-48.4963416;https://www.google.com.br/maps/@/-22.8914655,-48.4963416,18z
HOSPITAL REGIONAL DO VALE DO PARAIBA;-23,0293743;-45,5668312;9935,828881631525;None;https://www.openstreetmap.org/#map=19/-23.0293743/-45.5668312;https://www.google.com.br/maps/@/-23.0293743,-45.5668312,18z
HOSPITAL MUNICIPAL BRASILANDIA;-23,4761092;-46,6983834;19655,08469546851;15400,028355615603;https://www.openstreetmap.org/#map=19/-23.4761092/-46.6983834;https://www.google.com.br/maps/@/-23.4761092,-46.6983834,18z
HOSPITAL GUILHERME ALVARO SANTOS;-23,963225;-46,319539;39808,94577169474;None;https://www.openstreetmap.org/#map=19/-23.963225/-46.319539;https://www.google.com.br/maps/@/-23.963225,-46.319539,18z
HOSPITAL DAS CLINICAS LUZIA DE PINHO MELO MOGI DAS CRUZES;-23,5105593;-46,1947095;8511,132995478783;None;https://www.openstreetmap.org/#map=19/-23.5105593/-46.1947095;https://www.google.com.br/maps/@/-23.5105593,-46.1947095,18z
HOSPITAL MUNICIPAL DE QUELUZ;-22,5385257;-44,7728791;3464,484994911224;None;https://www.openstreetmap.org/#map=19/-22.5385257/-44.7728791;https://www.google.com.br/maps/@/-22.5385257,-44.7728791,18z
HOSPITAL ESTADUAL DE CAIEIRAS;-23,3666969;-46,7504909;740,3779722795923;None;https://www.openstreetmap.org/#map=19/-23.3666969/-46.7504909;https://www.google.com.br/maps/@/-23.3666969,-46.7504909,18z
HOSPITAL REGIONAL DE JUNDIAI;-23,1824286;-46,8899581;2954,457744225367;None;https://www.openstreetmap.org/#map=19/-23.1824286/-46.8899581;https://www.google.com.br/maps/@/-23.1824286,-46.8899581,18z
HOSP MUN DR IGNACIO PROENCA DE GOUVEA;-23,5719286;-46,5902981;3943,3879585747004;1574,831606203465;https://www.openstreetmap.org/#map=19/-23.5719286/-46.5902981;https://www.google.com.br/maps/@/-23.5719286,-46.5902981,18z
HOSPITAL DE BASE DE BAURU;-22,3303361;-49,0768236;12465,145193781365;2069,653198264336;https://www.openstreetmap.org/#map=19/-22.3303361/-49.0768236;https://www.google.com.br/maps/@/-22.3303361,-49.0768236,18z
CAIS CLEMENTE FERREIRA DE LINS;-21,6366247;-49,7737651;268125,51041133486;None;https://www.openstreetmap.org/#map=19/-21.6366247/-49.7737651;https://www.google.com.br/maps/@/-21.6366247,-49.7737651,18z
HOSPITAL MUNICIPAL DE BERTIOGA;-23,8429362;-46,1396987;12565,64143076585;7252,502940516109;https://www.openstreetmap.org/#map=19/-23.8429362/-46.1396987;https://www.google.com.br/maps/@/-23.8429362,-46.1396987,18z
HOSPITAL ESTADUAL AMERICO BRASILIENSE;-21,7410705;-48,1220018;122200,68453588853;14833,543746877498;https://www.openstreetmap.org/#map=19/-21.7410705/-48.1220018;https://www.google.com.br/maps/@/-21.7410705,-48.1220018,18z
HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;-23,4995673;-46,4725333;28788,122656777294;9303,348110610188;https://www.openstreetmap.org/#map=19/-23.4995673/-46.4725333;https://www.google.com.br/maps/@/-23.4995673,-46.4725333,18z
HOSP MUN INFANTIL MENINO JESUS;-23,5602284;-46,6473812;3101,5346358287175;2014,3423497357257;https://www.openstreetmap.org/#map=19/-23.5602284/-46.6473812;https://www.google.com.br/maps/@/-23.5602284,-46.6473812,18z
HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;-23,4814904;-46,6724863;26855,358556674015;7874,28957278374;https://www.openstreetmap.org/#map=19/-23.4814904/-46.6724863;https://www.google.com.br/maps/@/-23.4814904,-46.6724863,18z
HOSPITAL UNIVERSITARIO DA USP SAO PAULO;-23,5649363;-46,7405751;36710,44220420155;6336,126275114637;https://www.openstreetmap.org/#map=19/-23.5649363/-46.7405751;https://www.google.com.br/maps/@/-23.5649363,-46.7405751,18z
HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;-23,6111145;-46,4928113;12460,179911441048;3689,4608889249007;https://www.openstreetmap.org/#map=19/-23.6111145/-46.4928113;https://www.google.com.br/maps/@/-23.6111145,-46.4928113,18z
HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;-23,4925928;-46,3890304;17617,081968066726;5361,947624174925;https://www.openstreetmap.org/#map=19/-23.4925928/-46.3890304;https://www.google.com.br/maps/@/-23.4925928,-46.3890304,18z
HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA;-20,9346763;-48,496481;44322,848204768954;None;https://www.openstreetmap.org/#map=19/-20.9346763/-48.496481;https://www.google.com.br/maps/@/-20.9346763,-48.496481,18z
HOSPITAL DE CLINICAS SUL;-23,2378264;-45,9089279;874,939823460637;None;https://www.openstreetmap.org/#map=19/-23.2378264/-45.9089279;https://www.google.com.br/maps/@/-23.2378264,-45.9089279,18z
HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;-22,9161093;-47,0685528;12399,882982805877;None;https://www.openstreetmap.org/#map=19/-22.9161093/-47.0685528;https://www.google.com.br/maps/@/-22.9161093,-47.0685528,18z
UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA;-23,6286844;-46,7932558;5367,619482202094;3074,4529740539892;https://www.openstreetmap.org/#map=19/-23.6286844/-46.7932558;https://www.google.com.br/maps/@/-23.6286844,-46.7932558,18z
HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;-23,6709183;-46,5331357;39699,15914104142;9859,14283586892;https://www.openstreetmap.org/#map=19/-23.6709183/-46.5331357;https://www.google.com.br/maps/@/-23.6709183,-46.5331357,18z
HOSPITAL GERAL DE ITAPEVI;-23,5377675;-46,942674;3485,005285061912;None;https://www.openstreetmap.org/#map=19/-23.5377675/-46.942674;https://www.google.com.br/maps/@/-23.5377675,-46.942674,18z
INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;-23,5558033;-46,6675382;296838,3795251025;61516,30287551818;https://www.openstreetmap.org/#map=19/-23.5558033/-46.6675382;https://www.google.com.br/maps/@/-23.5558033,-46.6675382,18z
HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA;-23,584582;-48,0451682;7483,658502686423;None;https://www.openstreetmap.org/#map=19/-23.584582/-48.0451682;https://www.google.com.br/maps/@/-23.584582,-48.0451682,18z
COMPLEXO MUNICIPAL DE SAUDE;-22,7431278;-45,6249349;54056,40368577044;None;https://www.openstreetmap.org/#map=19/-22.7431278/-45.6249349;https://www.google.com.br/maps/@/-22.7431278,-45.6249349,18z
HOSPITAL GERAL DE PEDREIRA;-23,6811512;-46,6764103;49998,66560944302;None;https://www.openstreetmap.org/#map=19/-23.6811512/-46.6764103;https://www.google.com.br/maps/@/-23.6811512,-46.6764103,18z
COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;-23,4650605;-46,5504633;52277,61701876752;None;https://www.openstreetmap.org/#map=19/-23.4650605/-46.5504633;https://www.google.com.br/maps/@/-23.4650605,-46.5504633,18z
HOSPITAL DR OSIRIS FLORINDO COELHO FERRAZ DE VASCONCELOS;-23,5381846;-46,3585281;7058,851006553516;None;https://www.openstreetmap.org/#map=19/-23.5381846/-46.3585281;https://www.google.com.br/maps/@/-23.5381846,-46.3585281,18z
HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;-23,2840205;-46,746945;7756,529729365478;None;https://www.openstreetmap.org/#map=19/-23.2840205/-46.746945;https://www.google.com.br/maps/@/-23.2840205,-46.746945,18z
HOSPITAL GERAL DE GUARULHOS PROF DR WALDEMAR DE CARVALHO;-23,4496563;-46,4951351;10008,339029804203;None;https://www.openstreetmap.org/#map=19/-23.4496563/-46.4951351;https://www.google.com.br/maps/@/-23.4496563,-46.4951351,18z
HOSPITAL GERAL DE ITAPECERICA DA SERRA;-23,7006555;-46,8479094;26772,737610505097;9858,479282886761;https://www.openstreetmap.org/#map=19/-23.7006555/-46.8479094;https://www.google.com.br/maps/@/-23.7006555,-46.8479094,18z
HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;-22,8269585;-47,064116;52365,80780854345;28784,415145734252;https://www.openstreetmap.org/#map=19/-22.8269585/-47.064116;https://www.google.com.br/maps/@/-22.8269585,-47.064116,18z
HOSPITAL GERAL PIRAJUSSARA TABOAO DA SERRA;-23,64047;-46,8098752;21001,992076887782;None;https://www.openstreetmap.org/#map=19/-23.64047/-46.8098752;https://www.google.com.br/maps/@/-23.64047,-46.8098752,18z
HOSPITAL VITAL BRAZIL SAO PAULO;-23,5651288;-46,7197047;701276,7634649435;34600,24928115024;https://www.openstreetmap.org/#map=19/-23.5651288/-46.7197047;https://www.google.com.br/maps/@/-23.5651288,-46.7197047,18z
HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO;-20,8068316;-49,3597824;1389,0772658789176;1389,0772658789176;https://www.openstreetmap.org/#map=19/-20.8068316/-49.3597824;https://www.google.com.br/maps/@/-20.8068316,-49.3597824,18z
UNIDADE HOSPITALAR BRASILANDIA FO;-23,4734032;-46,6840088;1931,3087876804761;1931,3087876804761;https://www.openstreetmap.org/#map=19/-23.4734032/-46.6840088;https://www.google.com.br/maps/@/-23.4734032,-46.6840088,18z
HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES GUAPIARA;-24,1847334;-48,5289583;562,6737412281739;None;https://www.openstreetmap.org/#map=19/-24.1847334/-48.5289583;https://www.google.com.br/maps/@/-24.1847334,-48.5289583,18z
